Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,46512,31.100887985449877,14244,3.329554353034677,14244,2768,257,0,0,165888,3.2918047776888786,4.549283909014322,model_1/Conv1_relu/Relu6;model_1/bn_Conv1/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/Conv1/Conv2D
Conv2D,Relu6,NPU,46512,31.100887985449877,18816,4.398265564918596,18816,6336,0,0,0,36864,0.7315121728197508,0.7653061224489796,model_1/Conv1_relu/Relu6;model_1/bn_Conv1/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/Conv1/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,74048,49.51321279554937,14848,3.4707401736772594,14848,2655,90,0,0,331776,6.583609555377757,8.72844827586207,model_1/expanded_conv_depthwise_relu/Relu6;model_1/expanded_conv_depthwise_BN/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/expanded_conv_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,74048,49.51321279554937,19456,4.547866434473651,19456,2610,0,0,0,36864,0.7315121728197508,0.7401315789473685,model_1/expanded_conv_depthwise_relu/Relu6;model_1/expanded_conv_depthwise_BN/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/expanded_conv_depthwise/depthwise
Conv2D,Conv2D,NPU,74128,49.56670589493955,4864,1.1369666086184127,4864,2439,180,0,0,294912,5.852097382558006,23.68421052631579,model_1/expanded_conv_project_BN/FusedBatchNormV3;model_1/block_2_project/Conv2D;model_1/expanded_conv_project/Conv2D
Conv2D,Conv2D,NPU,148576,99.34738418743981,27888,6.518857890861491,27888,5856,1800,0,0,884736,17.55629214767402,12.392426850258175,model_1/block_1_expand_relu/Relu6;model_1/block_1_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_expand/Conv2D
Conv2D,Relu6,NPU,148576,99.34738418743981,55776,13.037715781722982,55776,7056,0,0,0,110592,2.1945365184592527,0.774526678141136,model_1/block_1_expand_relu/Relu6;model_1/block_1_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_expand/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,139216,93.08869155878891,6230,1.4562709645749816,4224,6230,120,0,0,248832,4.937707166533318,15.601926163723917,model_1/block_1_depthwise_relu/Relu6;model_1/block_1_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,139216,93.08869155878891,5376,1.256647304262456,5376,4320,0,0,0,27648,0.5486341296148132,2.0089285714285716,model_1/block_1_depthwise_relu/Relu6;model_1/block_1_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_1_depthwise/depthwise
Conv2D,Conv2D,NPU,37568,25.120359473627904,1332,0.31135680976145674,1332,1273,50,0,0,221184,4.389073036918505,64.86486486486487,model_1/block_1_project_BN/FusedBatchNormV3;model_1/block_2_project/Conv2D;model_1/block_1_project/Conv2D
Conv2D,Conv2D,NPU,37984,25.398523590456833,7152,1.6717897172777316,7152,1464,450,0,0,221184,4.389073036918505,12.080536912751677,model_1/block_2_expand_relu/Relu6;model_1/block_2_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_2_expand/Conv2D
Conv2D,Relu6,NPU,37984,25.398523590456833,14304,3.3435794345554632,14304,1764,0,0,0,27648,0.5486341296148132,0.7550335570469798,model_1/block_2_expand_relu/Relu6;model_1/block_2_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_2_expand/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,65504,43.80014978067829,5544,1.2959175325206578,5544,2944,120,0,0,248832,4.937707166533318,17.532467532467532,model_1/block_2_depthwise_relu/Relu6;model_1/block_2_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_2_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,65504,43.80014978067829,7056,1.6493495868444736,7056,2880,0,0,0,27648,0.5486341296148132,1.530612244897959,model_1/block_2_depthwise_relu/Relu6;model_1/block_2_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_2_depthwise/depthwise
Conv2D,Conv2D,NPU,46784,31.282764523376485,1332,0.31135680976145674,1332,1273,50,0,0,221184,4.389073036918505,64.86486486486487,model_1/block_2_project_BN/FusedBatchNormV3;model_1/block_2_project/Conv2D
Add,Add,NPU,46784,31.282764523376485,2304,0.5385631303981955,2304,864,0,0,0,0,0.0,0.0,model_1/block_2_add/add
Conv2D,Conv2D,NPU,38000,25.409222210334867,7152,1.6717897172777316,7152,1471,450,0,0,221184,4.389073036918505,12.080536912751677,model_1/block_3_expand_relu/Relu6;model_1/block_3_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_3_expand/Conv2D
Conv2D,Relu6,NPU,38000,25.409222210334867,14304,3.3435794345554632,14304,1764,0,0,0,27648,0.5486341296148132,0.7550335570469798,model_1/block_3_expand_relu/Relu6;model_1/block_3_expand_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise;model_1/block_3_expand/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,35536,23.761634749117363,1440,0.33660195649887215,1440,1095,30,0,0,62208,1.2344267916333296,16.875,model_1/block_3_depthwise_relu/Relu6;model_1/block_3_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,35536,23.761634749117363,1728,0.40392234779864655,1728,432,0,0,0,6912,0.1371585324037033,1.5625,model_1/block_3_depthwise_relu/Relu6;model_1/block_3_depthwise_BN/FusedBatchNormV3;model_1/block_3_depthwise/depthwise
Conv2D,Conv2D,NPU,10432,6.9755001604792986,792,0.18513107607437967,792,354,20,0,0,110592,2.1945365184592527,54.54545454545455,model_1/block_3_project_BN/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/block_3_project/Conv2D
Conv2D,Conv2D,NPU,19392,12.966727292179309,3792,0.8863851521136966,3792,1080,120,0,0,221184,4.389073036918505,22.78481012658228,model_1/block_4_expand_relu/Relu6;model_1/block_4_expand_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_4_expand/Conv2D
Conv2D,Relu6,NPU,19392,12.966727292179309,7248,1.6942298477109898,7248,936,0,0,0,13824,0.2743170648074066,0.7450331125827815,model_1/block_4_expand_relu/Relu6;model_1/block_4_expand_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_4_expand/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,31888,21.322349416925217,1440,0.33660195649887215,1440,894,60,0,0,124416,2.468853583266659,33.75,model_1/block_4_depthwise_relu/Relu6;model_1/block_4_depthwise_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_4_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,31888,21.322349416925217,1728,0.40392234779864655,1728,864,0,0,0,13824,0.2743170648074066,3.125,model_1/block_4_depthwise_relu/Relu6;model_1/block_4_depthwise_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_4_depthwise/depthwise
Conv2D,Conv2D,NPU,20672,13.822616882422167,1632,0.38148221736538845,1632,922,20,0,0,221184,4.389073036918505,52.94117647058823,model_1/block_4_project_BN/FusedBatchNormV3;model_1/block_5_project/Conv2D;model_1/block_4_project/Conv2D
Add,Add,NPU,20672,13.822616882422167,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/block_4_add/add
Conv2D,Conv2D,NPU,19392,12.966727292179309,3792,0.8863851521136966,3792,1080,120,0,0,221184,4.389073036918505,22.78481012658228,model_1/block_5_expand_relu/Relu6;model_1/block_5_expand_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_5_expand/Conv2D
Conv2D,Relu6,NPU,19392,12.966727292179309,7248,1.6942298477109898,7248,936,0,0,0,13824,0.2743170648074066,0.7450331125827815,model_1/block_5_expand_relu/Relu6;model_1/block_5_expand_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_5_expand/Conv2D
DepthwiseConv2D,DepthwiseConv2D,NPU,31904,21.333048036803252,1440,0.33660195649887215,1440,895,60,0,0,124416,2.468853583266659,33.75,model_1/block_5_depthwise_relu/Relu6;model_1/block_5_depthwise_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_5_depthwise/depthwise
DepthwiseConv2D,Relu6,NPU,31904,21.333048036803252,1728,0.40392234779864655,1728,864,0,0,0,13824,0.2743170648074066,3.125,model_1/block_5_depthwise_relu/Relu6;model_1/block_5_depthwise_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D;model_1/block_5_depthwise/depthwise
Conv2D,Conv2D,NPU,20672,13.822616882422167,1632,0.38148221736538845,1632,922,20,0,0,221184,4.389073036918505,52.94117647058823,model_1/block_5_project_BN/FusedBatchNormV3;model_1/block_5_project/Conv2D
Add,Add,NPU,20672,13.822616882422167,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/block_5_add/add
Conv2D,Conv2D,NPU,19392,12.966727292179309,3792,0.8863851521136966,3792,1080,120,0,0,221184,4.389073036918505,22.78481012658228,model_1/block_6_expand_relu/Relu6;model_1/block_6_expand_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D
Conv2D,Relu6,NPU,19392,12.966727292179309,7248,1.6942298477109898,7248,936,0,0,0,13824,0.2743170648074066,0.7450331125827815,model_1/block_6_expand_relu/Relu6;model_1/block_6_expand_BN/FusedBatchNormV3;model_1/block_6_expand/Conv2D
Conv2D,Conv2D,NPU,22880,15.299026425591098,2784,0.6507637825644862,2784,1842,40,0,0,442368,8.77814607383701,62.06896551724138,model_1/head/Relu;model_1/head/BiasAdd;model_1/head/Conv2D;model_1/head/BiasAdd/ReadVariableOp
Conv2D,Relu,NPU,22880,15.299026425591098,2784,0.6507637825644862,2784,384,0,0,0,4608,0.09143902160246885,0.646551724137931,model_1/head/Relu;model_1/head/BiasAdd;model_1/head/Conv2D;model_1/head/BiasAdd/ReadVariableOp
Conv2D,Conv2D,NPU,5200,3.477051460361613,675,0.15778216710884632,675,189,20,0,0,9216,0.1828780432049377,5.333333333333333,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp
Softmax,MaxPool,NPU,432,0.28886273670696483,295448,69.06137141922137,295448,82,0,0,0,288,0.005714938850154303,0.00038077766645907234,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/maxpool
Softmax,Sub,NPU,9648,6.451267786455547,576,0.13464078259954887,576,144,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut
Softmax,LUT,NPU,9648,6.451267786455547,754,0.17624852444454833,754,144,0,0,0,288,0.005714938850154303,0.14920424403183025,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut
Softmax,Asr,NPU,10368,6.932705680967155,81,0.01893386005306156,72,81,2,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr
Softmax,ReduceSum,NPU,19584,13.095110730715737,1595,0.37283341709423684,1595,81,0,0,0,288,0.005714938850154303,0.07053291536050156,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum
Softmax,CLZ,NPU,27648,18.48721514924575,576,0.13464078259954887,576,144,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/CLZ
Softmax,Sub,NPU,36864,24.64962019899433,576,0.13464078259954887,576,72,0,0,0,0,0.0,0.0,headroom_offset/Sub
Softmax,Sub,NPU,46080,30.812025248742913,576,0.13464078259954887,576,144,2,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/CLZ/Sub
Softmax,SHL,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL
Softmax,Mul,NPU,36864,24.64962019899433,576,0.13464078259954887,576,144,2,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul
Softmax,Add,NPU,36864,24.64962019899433,576,0.13464078259954887,576,144,2,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Sub,NPU,46080,30.812025248742913,576,0.13464078259954887,576,72,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,144,2,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul/Mul
Softmax,Add,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Sub,NPU,46080,30.812025248742913,576,0.13464078259954887,576,72,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,144,2,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul/Mul
Softmax,Add,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Sub,NPU,46080,30.812025248742913,576,0.13464078259954887,576,72,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Mul,NPU,46080,30.812025248742913,576,0.13464078259954887,576,144,2,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul/Mul
Softmax,Add,NPU,36864,24.64962019899433,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Add
Softmax,Mul,NPU,27936,18.67979030705039,576,0.13464078259954887,576,216,0,0,0,0,0.0,0.0,model_1/logits/BiasAdd;model_1/logits/Conv2D;model_1/logits/BiasAdd/ReadVariableOp/Sub/lut/Mul
Softmax,Asr,NPU,27936,18.67979030705039,180,0.04207524456235902,72,180,0,0,0,0,0.0,0.0,StatefulPartitionedCall:0
